gamehash,map,start_time,duration,a_score,b_score
61b56a2e-4dce-4bdb-9eba-a66138c5a4ab,Ascent,2022-02-20 03:16:00,00:43:31,13,8
70a47ac6-c3ab-4684-a015-f9f7398f2bb1,Haven,2021-12-02 23:15:00,00:33:05,13,6
2cb625c9-1583-4cd8-ab9a-40ee6dd35100,Bind,2022-02-04 14:48:00,00:27:44,13,4
ca9feb62-673f-4da0-b88d-c67526603e97,Icebox,2022-02-28 12:17:00,00:44:34,14,12
4beb6a25-6ea2-4587-9160-8b6ed10c1afd,Haven,2022-02-14 17:07:00,00:28:03,13,4
8ea152f6-040f-42c1-91b2-55d570658e3d,Split,2022-03-04 15:36:00,00:32:44,13,7
21ba3831-54ef-4fdc-afc6-25883bb916dc,Ascent,2021-12-06 20:31:00,00:40:07,13,10
ccc95888-6f87-4010-a3a9-b57a6d6d4af1,Bind,2022-02-21 15:59:00,00:20:32,13,1
6b03975d-4048-4683-8073-22c5c851e108,Haven,2022-02-09 01:09:00,00:29:59,13,5
5f10c78b-94e8-40c3-9af3-0f98c5137d6c,Split,2022-02-05 01:15:00,00:49:27,15,13
0c1288f0-34d5-4155-86e7-f0186eee971c,Breeze,2022-02-17 01:26:00,00:41:22,13,11
07db74f2-c91f-4edf-bf4a-88811918c2ef,Breeze,2022-02-25 14:58:00,00:19:37,13,2
1c44d7e4-2e3c-4ecc-b15c-29e9e4da7466,Split,2022-02-07 21:10:00,00:20:25,13,1
4d6e8f67-dd5a-49b1-ae04-4790dc0d00a2,Breeze,2021-11-16 20:26:00,00:25:04,13,2
f18073ba-cce3-433c-8f88-616282ea1d7b,Bind,2022-03-11 02:58:00,00:31:36,13,6
69947345-da94-4ee4-9a2c-73a86550a8b6,Ascent,2022-01-01 18:30:00,00:33:31,13,7
16365d0c-bfcf-4074-8079-a22e89953867,Icebox,2022-02-24 02:12:00,00:27:40,13,4
132fd09e-1a2c-46f5-856f-424f02f99849,Haven,2021-11-21 21:06:00,00:39:40,13,11
6b55302e-9155-42df-af9b-27fa627755f8,Split,2022-02-26 23:33:00,00:23:09,13,3
3b2556dc-4dcf-4ef9-a61b-c93e42d028c2,Ascent,2022-02-18 03:31:00,00:29:33,13,4
89a3f50d-3812-437b-af1c-b193eaba2170,Split,2022-02-17 03:30:00,00:40:05,13,10
c9d9d56b-4d84-4528-8edf-d4709c30ad11,Bind,2022-02-16 03:01:00,00:33:47,13,7
b4d20610-a84a-4da6-a7e1-817d7e180b77,Haven,2022-03-13 16:09:00,00:25:55,13,6
77b89a9a-fad6-416d-94d1-050722e49301,Ascent,2022-01-16 12:00:00,00:31:45,13,6
23e7d72e-d253-4630-8efe-e48543fc695e,Haven,2022-03-11 01:39:00,01:02:26,18,16
927ff8a1-8b8e-4592-bdda-10e95b9e2ad9,Breeze,2022-02-02 02:26:00,00:29:53,13,4
b5832e96-260e-4bc2-acf6-451156278150,Split,2022-01-15 12:31:00,00:22:14,13,1
1c4df04b-357b-45a7-8a28-fdb65a74d2c5,Bind,2022-02-04 15:57:00,00:40:58,13,9
76502fec-3e28-4479-aa24-0f60427ea371,Fracture,2021-11-16 20:54:00,00:40:26,13,7
784c33d7-a58e-4ecf-b03d-10630e9cd188,Ascent,2022-03-11 21:43:00,00:38:38,13,11
0957d57b-a07e-4e67-a769-3a8819d2ed50,Fracture,2022-03-13 15:24:00,00:41:05,14,12
9b123eac-3cdb-40ee-856e-8de5cdc5bfac,Haven,2021-11-18 20:31:00,00:35:33,13,10
463ed901-09d7-41ce-9c55-420091200a32,Split,2022-02-28 17:11:00,00:39:31,13,10
64283be2-d095-404d-8cf5-2f01c5eaa4d3,Breeze,2022-02-19 01:32:00,00:55:10,16,14
a79be660-f9e9-471a-b0df-25438bf4634a,Bind,2022-02-15 01:35:00,00:49:25,15,13
5e797ef9-06e9-497b-8e10-a7d10283fa16,Split,2022-02-20 06:25:00,00:33:18,13,6
b4e8b02c-7f87-417d-963f-14c39ac02066,Icebox,2021-12-06 19:31:00,00:51:03,15,15
50b2532c-353c-424d-a206-80a364479abd,Breeze,2022-02-27 01:50:00,00:38:21,14,12
29ee9098-9ec9-46cf-932b-2abe87838f70,Bind,2022-02-07 22:38:00,00:28:33,13,5
806e407b-e364-41e7-8e11-26133a030143,Icebox,2022-02-14 17:40:00,00:27:53,13,3
68fe6f03-523e-4bd6-8c55-77843a6a3b6e,Fracture,2022-02-19 02:32:00,00:29:28,13,5
5d917302-49f2-47c8-8c89-a1185a6d8ec6,Bind,2021-12-29 23:13:00,00:40:03,13,10
164c1c67-5f37-47b2-afc8-adfe528b48b0,Split,2022-03-11 20:57:00,00:41:23,13,11
7b3aac98-45a7-4a28-a52b-85019e201b90,Breeze,2022-01-14 15:59:00,00:35:54,13,10
dd72a2f3-7704-4587-9210-c8bd937184a9,Haven,2021-11-29 18:58:00,00:40:29,13,10
d09d3185-d4c2-4a26-bdfd-edbd080450ab,Icebox,2022-01-12 23:03:00,00:19:26,13,2
74a79412-faa1-4774-9665-90f0041d9be0,Bind,2022-02-18 15:57:00,00:35:56,13,9
bb56103d-6760-454f-beb3-c2eea4903be1,Icebox,2021-12-02 22:33:00,00:38:25,13,11
eb5aa3da-abf7-4124-8736-74f9b92a628d,Split,2022-02-21 08:25:00,00:32:50,13,8
7921efd7-796f-4eb7-ab1a-e3c5fa2496f7,Bind,2022-03-12 12:38:00,00:25:58,13,3
fd1aee7e-7724-4d58-9edd-ad4ee27aab8a,Haven,2022-02-21 16:32:00,00:37:11,13,11
642f3037-687c-4777-8b8e-5f9b94c98bef,Bind,2022-02-21 09:06:00,00:16:30,13,0
921f00a6-045a-41d7-ac0c-c62d4afca227,Ascent,2021-11-16 18:58:00,00:25:26,13,3
9089e47b-e9ad-44d4-bf4c-15c196d50ad6,Haven,2021-11-21 22:01:00,00:42:54,14,12
3d6df577-b6a3-4545-8a82-3d2ed7e8135c,Icebox,2022-01-01 12:07:00,00:23:45,13,4
93f3fba3-19fb-4fba-bb57-45af2b7c1653,Split,2021-12-24 15:38:00,00:35:35,13,9
33f91b80-66cc-435e-87a6-1546ec64e086,Fracture,2022-01-15 12:57:00,00:34:48,13,10
3cb382b2-22c8-4d06-b339-c09508319e9a,Haven,2022-02-09 12:17:00,00:30:56,13,5
c38268f5-8228-4416-8002-710ce2e60b05,Split,2022-01-31 22:43:00,00:36:01,13,9
62ab5c38-4954-4e78-a68c-42adef5900e8,Ascent,2022-02-17 01:36:00,00:29:08,13,5
73c51d1b-be27-4942-bdca-a07d1a867ea6,Icebox,2021-12-15 22:36:00,00:40:57,13,10
07ec512a-ed8d-43db-99fb-f49fa5e91729,Split,2022-02-18 02:32:00,00:37:37,13,8
d0d62f9c-a3cb-422c-8f0a-10f1b180acb7,Bind,2021-12-07 18:26:00,00:25:19,13,3
fe93e85a-de7c-4b0a-af49-4ab3a193107f,Ascent,2022-02-20 05:41:00,00:40:26,13,10
a3f81776-80d8-48f4-9dd0-fcc8f90716a3,Icebox,2022-02-27 01:09:00,00:35:59,13,8
a86491c6-e851-4af2-99d1-8771c79580f7,Fracture,2022-02-13 16:51:00,00:32:30,13,8
73a41fac-4ec3-43ac-b169-67ca76239dab,Breeze,2022-03-12 21:50:00,00:36:02,13,9
3979ad15-e9d3-4d6d-b32f-d3adfabc0fc2,Breeze,2022-02-16 03:43:00,00:38:13,13,9
03900e31-cdf9-40a2-8487-26aac5504d07,Ascent,2022-02-15 12:56:00,00:35:37,13,9
5a6ce186-77b2-47f2-aee1-fed242a56f80,Fracture,2022-02-17 12:52:00,00:28:14,13,5
9864e641-c77c-490b-b4e7-323ff67ebef6,Bind,2022-02-18 12:34:00,00:38:46,13,7
460241be-9cfb-4b72-a230-52d3b19d66e3,Ascent,2022-02-27 23:34:00,00:37:48,13,9
44d34c86-154d-43d2-96c6-42e4cd7d6a5c,Bind,2021-11-27 23:42:00,00:10:55,13,1
40abcc88-8a87-4464-aa75-db0521b43c0a,Haven,2021-12-29 22:00:00,00:22:51,13,2
fa957444-e525-4277-a0f3-178e3d7a2e49,Breeze,2022-02-04 15:23:00,00:30:47,13,7
d05b4dbc-799a-4a24-b449-f95be2cb9473,Bind,2021-12-18 13:16:00,00:42:29,15,13
6c0b7fb2-16cd-4e51-8210-9f1e734f6975,Breeze,2022-03-04 14:57:00,00:35:36,13,9
f77bd311-3370-416f-9cd2-16f3321d0e9b,Icebox,2022-03-11 20:22:00,00:28:56,13,7
3131e3a6-3f7a-4d02-b17e-28290f515c8c,Breeze,2021-11-23 22:03:00,00:37:26,13,9
ffd07e93-44fa-4eaf-a488-750cf743f8db,Breeze,2022-02-09 02:34:00,00:33:28,13,5
b9669dba-c2ca-4bed-82ab-6976e7536c8b,Split,2022-02-07 21:34:00,00:46:05,14,12
bd0fe8a7-c590-4836-9f59-2fbad425a88c,Ascent,2022-02-03 21:09:00,00:33:07,13,4
1a72ebae-7bc9-438c-ac50-b8e1d1d19229,Icebox,2021-11-21 20:27:00,00:32:51,13,8
f6237f25-eb70-4da1-8ef0-723adf77a1d3,Split,2022-01-08 16:34:00,00:36:11,13,9
b74dc115-fbe1-4f9c-93e5-8d3fecfb25fa,Bind,2022-02-14 05:15:00,00:32:06,13,8
cdb348d7-442e-45b5-ae18-f5e7cd84160b,Icebox,2022-02-14 12:06:00,00:39:38,13,11
a8d77214-705d-4f28-9510-06d1dc1c8254,Haven,2022-03-11 16:07:00,00:23:42,13,3
ea4e2f6b-99f9-4c91-b079-684d00babef1,Bind,2022-02-19 23:44:00,00:42:35,15,13
ed3fdd51-71e4-4d21-a941-eb73cbfc3077,Fracture,2022-02-11 18:00:00,00:40:34,13,10
ef039731-67d9-4770-abd6-5f87010045e4,Split,2022-01-12 12:08:00,00:24:37,13,4
ba7bddb9-85c1-4686-811f-6372d6f152c8,Ascent,2022-02-07 20:29:00,00:35:24,13,8
d8518c71-4303-4284-8c04-8c49b7dee05a,Icebox,2022-02-12 19:36:00,00:23:20,13,5
3be504f7-15b5-4780-9e23-cafa0b458865,Bind,2022-02-17 12:44:00,00:34:25,13,5
2bdbaf73-7a22-45f0-b48a-ea2d20e7b514,Icebox,2022-01-08 15:40:00,00:40:21,13,10
c934c322-0a39-4280-9c1d-e28bc7094c5f,Icebox,2021-12-30 12:01:00,00:27:14,13,6
7095fc2e-f94f-4c5b-972e-95d72de521ef,Ascent,2022-02-21 07:47:00,00:33:50,13,8
0a13630a-6e89-4913-acb6-7461d830b1e5,Breeze,2022-03-01 11:43:00,00:22:15,13,3
914a3c22-a29f-407b-a264-f245c546a6b6,Bind,2022-02-14 12:52:00,00:42:13,13,10
c11bed87-a1fe-44c0-bb06-a5143534e9e3,Split,2022-01-30 05:27:00,00:29:57,13,8
154142f7-b725-4e95-9763-cf62e5338e70,Split,2022-02-21 10:18:00,00:37:32,13,8
239df860-ddfc-4111-a700-8a55877f50a8,Breeze,2021-11-24 19:23:00,00:37:04,13,10
91581f53-ed56-4177-abdf-04a6e32a8fbe,Icebox,2022-02-18 01:18:00,00:40:30,13,10
ef4ab811-fad2-4ae0-b2d9-9830908b15e9,Breeze,2021-12-18 14:03:00,00:41:26,13,11
d5cddeae-4324-4f65-839b-bd75f47711a7,Breeze,2022-01-14 17:14:00,00:37:29,13,11
db668ae1-8fa1-4516-ab53-1364324a34bc,Breeze,2022-01-08 20:44:00,00:35:15,13,8
08094364-8a86-44ef-8310-97a7fe364385,Haven,2021-12-18 12:48:00,00:22:59,13,3
6f0aca7a-db6f-4f19-9727-29910a7df16b,Breeze,2022-01-14 21:37:00,00:44:07,14,12
e54b566f-10a3-4165-af12-c2981979719b,Haven,2021-12-11 17:32:00,00:29:34,13,5
05395515-343b-412b-a014-2057cbd10e0d,Ascent,2022-02-14 05:50:00,00:41:17,13,11
cb08e101-5de3-4717-9292-274349ea7c0a,Bind,2022-01-15 23:22:00,00:24:59,13,4
a6b21338-fd2a-42d2-ade8-78e7c430d26b,Fracture,2022-02-17 03:06:00,00:20:03,13,3
e5a949d2-f030-4f7f-b6a1-98d2a7f30810,Icebox,2022-03-12 21:22:00,00:25:15,13,4
dbd04e24-05ef-463d-bd09-82c0259dcd1b,Split,2021-11-26 02:19:00,00:32:06,13,4
c027a4d6-8cc1-4e39-9e7f-6a04e02127ff,Haven,2022-01-02 22:08:00,00:31:40,13,8
1fbca2e9-d4f2-45b4-b0e1-a3b20ba0fb30,Fracture,2022-03-04 14:05:00,00:45:20,14,12
4f13c6fc-f6d3-42ac-b804-296331fc82fe,Bind,2022-02-24 12:38:00,00:43:24,14,12
