gamehash,name,discrim,rank,team,agent,ACS,ADR,ECON,K,D,A,HSP,FK,FD,MK
61b56a2e-4dce-4bdb-9eba-a66138c5a4ab,ray,9386,Gold 3,A,KAY/O,278,180.1,70,20,14,10,25,4,3,4
61b56a2e-4dce-4bdb-9eba-a66138c5a4ab,neolyse,NA1,Gold 1,A,Reyna,278,184.7,74,19,16,4,19,4,3,1
61b56a2e-4dce-4bdb-9eba-a66138c5a4ab,soogah,3201,Silver 3,A,Sova,227,160.3,68,16,12,5,15,1,0,1
61b56a2e-4dce-4bdb-9eba-a66138c5a4ab,jboss,5694,Platinum 1,A,Chamber,207,116.5,55,17,13,4,5,2,1,1
61b56a2e-4dce-4bdb-9eba-a66138c5a4ab,derptarts,NA0,Gold 1,A,Viper,148,90.6,38,11,13,5,16,1,2,1
61b56a2e-4dce-4bdb-9eba-a66138c5a4ab,misterflappy,NA1,Gold 1,B,Reyna,238,159.7,74,15,15,4,13,2,2,1
61b56a2e-4dce-4bdb-9eba-a66138c5a4ab,synesthesiac,1881,Platinum 3,B,Brimstone,230,150.8,62,15,17,5,18,4,4,1
61b56a2e-4dce-4bdb-9eba-a66138c5a4ab,vale,bop,Platinum 1,B,Skye,223,148.1,56,17,18,3,35,1,2,2
61b56a2e-4dce-4bdb-9eba-a66138c5a4ab,amypham2,5006,Platinum 1,B,Sage,144,93.2,36,10,17,3,21,2,2,0
61b56a2e-4dce-4bdb-9eba-a66138c5a4ab,rawr,5347,Bronze 3,B,Cypher,139,91.8,36,11,16,2,12,0,2,0
70a47ac6-c3ab-4684-a015-f9f7398f2bb1,rushmore,605,Gold 2,A,Jett,283,175.1,58,19,13,4,16,4,4,2
70a47ac6-c3ab-4684-a015-f9f7398f2bb1,roliver,8878,Platinum 1,A,Raze,259,177.0,98,16,11,3,12,3,1,1
70a47ac6-c3ab-4684-a015-f9f7398f2bb1,pew pew,8088,Silver 3,A,Brimstone,247,156.9,72,18,12,8,18,0,0,2
70a47ac6-c3ab-4684-a015-f9f7398f2bb1,artythekid,NA1,Silver 2,A,Sova,186,139.2,44,13,12,2,26,1,2,0
70a47ac6-c3ab-4684-a015-f9f7398f2bb1,amypham4,7708,Gold 2,A,Reyna,166,107.8,53,13,10,3,34,2,2,0
70a47ac6-c3ab-4684-a015-f9f7398f2bb1,certifiedabgluvr,RAIN,Platinum 1,B,Astra,288,202.1,80,19,16,5,20,2,1,2
70a47ac6-c3ab-4684-a015-f9f7398f2bb1,garrreto96,4832,Gold 1,B,Sage,197,136.1,52,12,14,3,6,3,2,1
70a47ac6-c3ab-4684-a015-f9f7398f2bb1,sir queef,bang,Platinum 1,B,Jett,137,102.1,45,10,15,3,14,1,2,0
70a47ac6-c3ab-4684-a015-f9f7398f2bb1,vye agra,BSHAW,Gold 1,B,Killjoy,134,80.1,29,10,17,2,13,2,4,0
70a47ac6-c3ab-4684-a015-f9f7398f2bb1,hoagstr,5047,Platinum 1,B,Chamber,131,100.9,41,7,17,4,21,1,1,0
2cb625c9-1583-4cd8-ab9a-40ee6dd35100,mongrel,dirt,Platinum 2,A,Jett,296,205.1,89,19,10,7,27,4,1,1
2cb625c9-1583-4cd8-ab9a-40ee6dd35100,smurfette,9892,Diamond 2,A,Raze,261,172.7,75,17,13,3,21,2,0,1
2cb625c9-1583-4cd8-ab9a-40ee6dd35100,synesthesiac,1881,Unrated,A,Brimstone,243,156.6,78,17,8,2,31,1,0,1
2cb625c9-1583-4cd8-ab9a-40ee6dd35100,doubleyoune,wne,Diamond 1,A,Sova,210,132.2,52,12,8,8,18,1,0,0
2cb625c9-1583-4cd8-ab9a-40ee6dd35100,bruhpaca,5691,Diamond 1,A,Chamber,186,132.8,51,10,10,6,9,2,6,0
2cb625c9-1583-4cd8-ab9a-40ee6dd35100,jinx,7750,Diamond 1,B,Raze,233,147.4,58,12,16,2,20,3,5,1
2cb625c9-1583-4cd8-ab9a-40ee6dd35100,his sage,ben,Diamond 1,B,Chamber,230,145.8,70,14,14,0,32,0,0,2
2cb625c9-1583-4cd8-ab9a-40ee6dd35100,slim,0069,Diamond 1,B,Jett,185,133.0,51,10,16,1,31,1,3,1
2cb625c9-1583-4cd8-ab9a-40ee6dd35100,jeremih,NA1,Platinum 3,B,Sova,144,95.2,40,8,14,2,23,2,2,0
2cb625c9-1583-4cd8-ab9a-40ee6dd35100,guy fieri,flav,Diamond 1,B,Omen,103,85.4,36,5,15,4,21,1,0,0
ca9feb62-673f-4da0-b88d-c67526603e97,poopoopp,poo,Gold 2,A,Sova,324,220.6,68,29,20,5,33,3,2,4
ca9feb62-673f-4da0-b88d-c67526603e97,burnell,6969,Gold 2,A,Reyna,287,178.8,60,27,19,1,31,5,5,5
ca9feb62-673f-4da0-b88d-c67526603e97,shura,kiri,Platinum 1,A,Jett,254,164.7,64,22,16,6,15,5,2,0
ca9feb62-673f-4da0-b88d-c67526603e97,arissajadey,NA1,Platinum 3,A,Viper,138,98.5,36,12,18,6,15,0,2,0
ca9feb62-673f-4da0-b88d-c67526603e97,mochmochi,Venti,Gold 2,A,Sage,100,55.9,21,8,17,14,19,1,1,0
ca9feb62-673f-4da0-b88d-c67526603e97,dirty dan,2000,Gold 1,B,Reyna,304,187.6,65,27,21,4,26,5,4,3
ca9feb62-673f-4da0-b88d-c67526603e97,dad,vr80,Platinum 3,B,Jett,230,140.8,53,21,19,3,21,4,5,2
ca9feb62-673f-4da0-b88d-c67526603e97,shinierisbald,4head,Gold 3,B,Chamber,197,145.2,52,15,21,6,23,1,4,1
