gamehash,team,bank,loadout
61b56a2e-4dce-4bdb-9eba-a66138c5a4ab,A,11114,18226
61b56a2e-4dce-4bdb-9eba-a66138c5a4ab,B,5136,17345
70a47ac6-c3ab-4684-a015-f9f7398f2bb1,A,6855,16071
70a47ac6-c3ab-4684-a015-f9f7398f2bb1,B,11447,19692
2cb625c9-1583-4cd8-ab9a-40ee6dd35100,A,11185,19265
2cb625c9-1583-4cd8-ab9a-40ee6dd35100,B,5215,15150
ca9feb62-673f-4da0-b88d-c67526603e97,A,8215,18452
ca9feb62-673f-4da0-b88d-c67526603e97,B,7850,19377
4beb6a25-6ea2-4587-9160-8b6ed10c1afd,A,13732,18794
4beb6a25-6ea2-4587-9160-8b6ed10c1afd,B,5265,14485
8ea152f6-040f-42c1-91b2-55d570658e3d,A,14563,18315
8ea152f6-040f-42c1-91b2-55d570658e3d,B,5110,15690
21ba3831-54ef-4fdc-afc6-25883bb916dc,A,5183,17254
21ba3831-54ef-4fdc-afc6-25883bb916dc,B,11733,18257
ccc95888-6f87-4010-a3a9-b57a6d6d4af1,A,4571,13400
ccc95888-6f87-4010-a3a9-b57a6d6d4af1,B,16671,18946
6b03975d-4048-4683-8073-22c5c851e108,A,5675,15497
6b03975d-4048-4683-8073-22c5c851e108,B,8050,17800
5f10c78b-94e8-40c3-9af3-0f98c5137d6c,A,9330,19716
5f10c78b-94e8-40c3-9af3-0f98c5137d6c,B,6966,17738
0c1288f0-34d5-4155-86e7-f0186eee971c,A,8819,18417
0c1288f0-34d5-4155-86e7-f0186eee971c,B,6494,16360
07db74f2-c91f-4edf-bf4a-88811918c2ef,A,6490,12180
07db74f2-c91f-4edf-bf4a-88811918c2ef,B,3573,9797
1c44d7e4-2e3c-4ecc-b15c-29e9e4da7466,A,17936,20007
1c44d7e4-2e3c-4ecc-b15c-29e9e4da7466,B,5079,14014
4d6e8f67-dd5a-49b1-ae04-4790dc0d00a2,A,9903,20167
4d6e8f67-dd5a-49b1-ae04-4790dc0d00a2,B,5967,14580
f18073ba-cce3-433c-8f88-616282ea1d7b,A,5818,16534
f18073ba-cce3-433c-8f88-616282ea1d7b,B,13568,18597
69947345-da94-4ee4-9a2c-73a86550a8b6,A,7378,18003
69947345-da94-4ee4-9a2c-73a86550a8b6,B,4530,16600
16365d0c-bfcf-4074-8079-a22e89953867,A,8747,19226
16365d0c-bfcf-4074-8079-a22e89953867,B,5582,15394
132fd09e-1a2c-46f5-856f-424f02f99849,A,8706,18675
132fd09e-1a2c-46f5-856f-424f02f99849,B,11931,18344
6b55302e-9155-42df-af9b-27fa627755f8,A,14181,18031
6b55302e-9155-42df-af9b-27fa627755f8,B,4981,15144
3b2556dc-4dcf-4ef9-a61b-c93e42d028c2,A,12565,18544
3b2556dc-4dcf-4ef9-a61b-c93e42d028c2,B,5118,15156
89a3f50d-3812-437b-af1c-b193eaba2170,A,6135,17987
89a3f50d-3812-437b-af1c-b193eaba2170,B,7404,17198
c9d9d56b-4d84-4528-8edf-d4709c30ad11,A,5378,16798
c9d9d56b-4d84-4528-8edf-d4709c30ad11,B,12873,19578
b4d20610-a84a-4da6-a7e1-817d7e180b77,A,10424,18766
b4d20610-a84a-4da6-a7e1-817d7e180b77,B,6158,17516
77b89a9a-fad6-416d-94d1-050722e49301,A,12158,19145
77b89a9a-fad6-416d-94d1-050722e49301,B,3447,14624
23e7d72e-d253-4630-8efe-e48543fc695e,A,6678,19476
23e7d72e-d253-4630-8efe-e48543fc695e,B,6731,20044
927ff8a1-8b8e-4592-bdda-10e95b9e2ad9,A,11341,19676
927ff8a1-8b8e-4592-bdda-10e95b9e2ad9,B,5268,15726
b5832e96-260e-4bc2-acf6-451156278150,A,3489,14800
b5832e96-260e-4bc2-acf6-451156278150,B,16714,19207
1c4df04b-357b-45a7-8a28-fdb65a74d2c5,A,9150,17352
1c4df04b-357b-45a7-8a28-fdb65a74d2c5,B,10939,18252
76502fec-3e28-4479-aa24-0f60427ea371,A,9453,15793
76502fec-3e28-4479-aa24-0f60427ea371,B,11485,17678
784c33d7-a58e-4ecf-b03d-10630e9cd188,A,7600,17754
784c33d7-a58e-4ecf-b03d-10630e9cd188,B,10300,18973
0957d57b-a07e-4e67-a769-3a8819d2ed50,A,10392,20135
0957d57b-a07e-4e67-a769-3a8819d2ed50,B,7433,18671
9b123eac-3cdb-40ee-856e-8de5cdc5bfac,A,11850,17970
9b123eac-3cdb-40ee-856e-8de5cdc5bfac,B,9809,18083
463ed901-09d7-41ce-9c55-420091200a32,A,7978,17283
463ed901-09d7-41ce-9c55-420091200a32,B,6348,17407
64283be2-d095-404d-8cf5-2f01c5eaa4d3,A,9663,19490
64283be2-d095-404d-8cf5-2f01c5eaa4d3,B,7088,19057
a79be660-f9e9-471a-b0df-25438bf4634a,A,10559,18768
a79be660-f9e9-471a-b0df-25438bf4634a,B,4914,18098
5e797ef9-06e9-497b-8e10-a7d10283fa16,A,8876,17274
5e797ef9-06e9-497b-8e10-a7d10283fa16,B,11589,17992
b4e8b02c-7f87-417d-963f-14c39ac02066,A,7655,18610
b4e8b02c-7f87-417d-963f-14c39ac02066,B,9498,18088
50b2532c-353c-424d-a206-80a364479abd,A,11546,20837
50b2532c-353c-424d-a206-80a364479abd,B,6583,18525
29ee9098-9ec9-46cf-932b-2abe87838f70,A,15167,18378
29ee9098-9ec9-46cf-932b-2abe87838f70,B,5472,15775
806e407b-e364-41e7-8e11-26133a030143,A,12541,18569
806e407b-e364-41e7-8e11-26133a030143,B,5072,15078
68fe6f03-523e-4bd6-8c55-77843a6a3b6e,A,5256,15797
68fe6f03-523e-4bd6-8c55-77843a6a3b6e,B,16272,19417
5d917302-49f2-47c8-8c89-a1185a6d8ec6,A,8513,18015
5d917302-49f2-47c8-8c89-a1185a6d8ec6,B,9202,18037
164c1c67-5f37-47b2-afc8-adfe528b48b0,A,9117,18646
164c1c67-5f37-47b2-afc8-adfe528b48b0,B,9179,16998
7b3aac98-45a7-4a28-a52b-85019e201b90,A,12180,19148
7b3aac98-45a7-4a28-a52b-85019e201b90,B,6646,17511
dd72a2f3-7704-4587-9210-c8bd937184a9,A,8048,15928
dd72a2f3-7704-4587-9210-c8bd937184a9,B,11443,18398
d09d3185-d4c2-4a26-bdfd-edbd080450ab,A,15440,15840
d09d3185-d4c2-4a26-bdfd-edbd080450ab,B,3803,13540
74a79412-faa1-4774-9665-90f0041d9be0,A,11625,19641
74a79412-faa1-4774-9665-90f0041d9be0,B,8018,18134
bb56103d-6760-454f-beb3-c2eea4903be1,A,7979,18502
bb56103d-6760-454f-beb3-c2eea4903be1,B,11265,18935
eb5aa3da-abf7-4124-8736-74f9b92a628d,A,8464,17048
eb5aa3da-abf7-4124-8736-74f9b92a628d,B,7602,17719
7921efd7-796f-4eb7-ab1a-e3c5fa2496f7,A,12897,19150
7921efd7-796f-4eb7-ab1a-e3c5fa2496f7,B,4238,14372
fd1aee7e-7724-4d58-9edd-ad4ee27aab8a,A,4917,17608
fd1aee7e-7724-4d58-9edd-ad4ee27aab8a,B,10813,19000
642f3037-687c-4777-8b8e-5f9b94c98bef,A,26181,20442
642f3037-687c-4777-8b8e-5f9b94c98bef,B,3773,14531
921f00a6-045a-41d7-ac0c-c62d4afca227,A,5781,15700
921f00a6-045a-41d7-ac0c-c62d4afca227,B,15166,19975
9089e47b-e9ad-44d4-bf4c-15c196d50ad6,A,9313,19738
9089e47b-e9ad-44d4-bf4c-15c196d50ad6,B,10171,18415
3d6df577-b6a3-4545-8a82-3d2ed7e8135c,A,4165,14918
3d6df577-b6a3-4545-8a82-3d2ed7e8135c,B,15976,20471
93f3fba3-19fb-4fba-bb57-45af2b7c1653,A,7923,18005
93f3fba3-19fb-4fba-bb57-45af2b7c1653,B,6989,18075
33f91b80-66cc-435e-87a6-1546ec64e086,A,8483,18285
33f91b80-66cc-435e-87a6-1546ec64e086,B,8415,17183
3cb382b2-22c8-4d06-b339-c09508319e9a,A,6286,15306
3cb382b2-22c8-4d06-b339-c09508319e9a,B,15061,19350
c38268f5-8228-4416-8002-710ce2e60b05,A,10159,19139
c38268f5-8228-4416-8002-710ce2e60b05,B,7834,17586
62ab5c38-4954-4e78-a68c-42adef5900e8,A,5333,15069
62ab5c38-4954-4e78-a68c-42adef5900e8,B,10164,19506
73c51d1b-be27-4942-bdca-a07d1a867ea6,A,13493,18759
73c51d1b-be27-4942-bdca-a07d1a867ea6,B,7183,18109
07ec512a-ed8d-43db-99fb-f49fa5e91729,A,5560,16412
07ec512a-ed8d-43db-99fb-f49fa5e91729,B,8379,18188
d0d62f9c-a3cb-422c-8f0a-10f1b180acb7,A,5144,15244
d0d62f9c-a3cb-422c-8f0a-10f1b180acb7,B,13419,18656
fe93e85a-de7c-4b0a-af49-4ab3a193107f,A,10067,17296
fe93e85a-de7c-4b0a-af49-4ab3a193107f,B,10763,17120
a3f81776-80d8-48f4-9dd0-fcc8f90716a3,A,8998,19107
a3f81776-80d8-48f4-9dd0-fcc8f90716a3,B,10340,16200
a86491c6-e851-4af2-99d1-8771c79580f7,A,14883,18783
a86491c6-e851-4af2-99d1-8771c79580f7,B,6124,16464
73a41fac-4ec3-43ac-b169-67ca76239dab,A,6427,16055
73a41fac-4ec3-43ac-b169-67ca76239dab,B,7464,18118
3979ad15-e9d3-4d6d-b32f-d3adfabc0fc2,A,10164,19052
3979ad15-e9d3-4d6d-b32f-d3adfabc0fc2,B,8168,18389
03900e31-cdf9-40a2-8487-26aac5504d07,A,10530,18486
03900e31-cdf9-40a2-8487-26aac5504d07,B,8032,17209
5a6ce186-77b2-47f2-aee1-fed242a56f80,A,14339,20494
5a6ce186-77b2-47f2-aee1-fed242a56f80,B,7258,17136
9864e641-c77c-490b-b4e7-323ff67ebef6,A,8553,19020
9864e641-c77c-490b-b4e7-323ff67ebef6,B,7485,17588
460241be-9cfb-4b72-a230-52d3b19d66e3,A,7741,18025
460241be-9cfb-4b72-a230-52d3b19d66e3,B,6395,17002
44d34c86-154d-43d2-96c6-42e4cd7d6a5c,A,6068,9632
