gamehash,map,start_time,duration,a_score,b_score
7d065b80-b6a1-4ded-99d0-f730140aa2f0,Bind,2022-02-22 19:26:00,00:32:12,13,6
45efd7bd-071a-4a58-81c2-56dce83f4c70,Split,2022-01-02 20:19:00,00:55:34,16,14
5ff08f46-8118-45a4-b243-e5ed1f684dc2,Ascent,2022-02-28 13:22:00,00:35:50,13,8
456e1130-84bc-42f8-8bf9-b0cef02a207c,Haven,2021-12-29 23:57:00,00:31:07,13,6
ead44b9b-8a5a-46da-af92-40bf6afc3c31,Breeze,2021-12-02 11:21:00,00:28:07,13,6
dfdbcf41-16a6-4faf-89cd-4352dbba944e,Split,2022-01-14 24:03:00,00:38:46,13,11
89b2018c-0beb-48f3-b12b-8380bafd72b3,Fracture,2022-01-24 10:16:00,00:40:33,13,11
b43c0d98-0961-43ab-98d7-7d4f54c67d7b,Split,2021-12-10 20:44:00,00:43:19,13,10
dc46173f-42cd-411b-af31-c7e2ccf6e114,Haven,2021-12-07 15:23:00,00:24:46,13,3
4e587952-f234-4bc3-aee4-b9f6fabc399a,Ascent,2022-02-20 18:24:00,00:36:58,13,10
74a79412-faa1-4774-9665-90f0041d9be0,Bind,2022-02-18 15:57:00,00:35:56,13,9
cd8f191f-1ccf-445e-af9c-4d1b43e36385,Haven,2022-01-05 15:49:00,00:45:06,13,11
d3427720-af92-4e60-8f90-11fe007d3465,Icebox,2021-12-23 24:44:00,00:35:18,13,9
5ac168a5-bce9-4e94-9d43-e8866148bf99,Haven,2021-12-19 08:58:00,00:23:31,13,4
50c90676-1fa1-4922-8197-60dd1b2e8236,Haven,2021-12-07 11:21:00,00:37:24,13,11
974fb9f1-f045-4160-9338-e94f1fed19b9,Split,2022-01-15 18:58:00,00:23:02,13,2
15a01190-6bb3-4968-ab32-6bc4ffb5b4fc,Breeze,2022-01-26 24:40:00,00:39:27,13,11
160aa372-7b3a-4507-a314-98f36a13d3d7,Haven,2022-01-01 22:37:00,00:38:18,13,11
acb33e60-c12f-4e3a-8dd1-18a8991fc774,Split,2022-02-02 15:43:00,00:13:14,13,1
e28333b3-fb06-401e-a116-49924aca7f9c,Bind,2022-03-04 14:27:00,00:27:41,13,3
8ae2e161-4a6d-4b27-b21d-59247a4f003a,Fracture,2022-01-29 13:42:00,00:30:29,13,6
85fe6dfb-7c60-4147-b140-322aeed98070,Icebox,2021-12-19 14:25:00,00:41:03,13,10
a1e9f734-2572-495c-8a3a-e5b394b0bf51,Haven,2022-02-18 22:40:00,00:37:26,13,11
5aca5101-b662-4ce6-b708-5f09374385a4,Split,2022-01-03 14:19:00,00:35:12,13,8
be95eaa3-2890-46f1-b911-7bb1b17c34a3,Bind,2022-01-15 06:18:00,00:33:37,13,8
9690174e-6bb1-4bde-8752-a4fbeb141554,Split,2022-03-02 17:38:00,00:48:09,15,13
93d5e10e-d53a-49a2-b0da-10b96108cdd5,Icebox,2021-12-29 22:31:00,00:38:39,13,11
de2fef72-347f-48cf-86a5-3e59ab0baae9,Breeze,2021-12-28 21:09:00,00:28:33,13,3
