gamehash,name,discrim,rank,team,agent,ACS,ADR,ECON,K,D,A,HSP,FK,FD,MK
7d065b80-b6a1-4ded-99d0-f730140aa2f0,lylertew,NA1,Silver 1,A,Neon,333,191.7,82,20,15,5,8,5,4,3
7d065b80-b6a1-4ded-99d0-f730140aa2f0,ommas touch,NA1,Silver 1,A,Omen,260,162.8,63,18,12,9,11,1,0,2
7d065b80-b6a1-4ded-99d0-f730140aa2f0,souroh,NA1,Bronze 1,A,Sova,232,165.8,61,15,12,9,22,1,1,0
7d065b80-b6a1-4ded-99d0-f730140aa2f0,apemode,3992,Bronze 1,A,Killjoy,205,110.4,52,15,10,5,11,0,1,1
7d065b80-b6a1-4ded-99d0-f730140aa2f0,kiri,6955,Bronze 3,A,Yoru,172,112.2,39,12,15,4,9,4,2,0
7d065b80-b6a1-4ded-99d0-f730140aa2f0,spivigamesyt,5979,Bronze 2,B,Sage,279,163.1,70,19,15,5,14,3,1,3
7d065b80-b6a1-4ded-99d0-f730140aa2f0,pyroplays,FIRE,Silver 1,B,Phoenix,230,132.7,54,15,15,5,8,3,1,1
7d065b80-b6a1-4ded-99d0-f730140aa2f0,clutch,4435,Bronze 2,B,Killjoy,186,120.9,48,9,14,4,12,0,3,1
7d065b80-b6a1-4ded-99d0-f730140aa2f0,my throat,daddy,Bronze 2,B,Skye,183,120.8,53,11,18,6,15,2,5,0
7d065b80-b6a1-4ded-99d0-f730140aa2f0,moonsaka,osaka,Bronze 2,B,Raze,150,88.7,33,10,18,2,10,0,1,1
45efd7bd-071a-4a58-81c2-56dce83f4c70,flare,4369,Diamond 2,A,Chamber,291,179.7,55,30,18,5,16,4,4,2
45efd7bd-071a-4a58-81c2-56dce83f4c70,dhruv r kpopstan,BTS,Platinum 2,A,Jett,281,171.7,53,31,22,2,26,8,3,3
45efd7bd-071a-4a58-81c2-56dce83f4c70,kjtakesnotalent,kjbad,Diamond 1,A,Brimstone,247,157.9,56,26,21,7,32,4,4,1
45efd7bd-071a-4a58-81c2-56dce83f4c70,noaisa4,3998,Diamond 2,A,Sova,215,146.9,63,23,17,8,26,3,0,3
45efd7bd-071a-4a58-81c2-56dce83f4c70,turtle,3055,Platinum 1,A,Sage,139,101.7,33,12,22,12,13,0,0,0
45efd7bd-071a-4a58-81c2-56dce83f4c70,poseidon,CKND1,Diamond 2,B,Reyna,238,161.8,55,26,23,4,23,1,2,1
45efd7bd-071a-4a58-81c2-56dce83f4c70,blurry,CKND3,Platinum 3,B,Sage,212,130.5,47,23,20,11,10,3,5,2
45efd7bd-071a-4a58-81c2-56dce83f4c70,sakumo,2607,Platinum 3,B,Raze,199,140.4,42,18,28,5,14,4,4,1
45efd7bd-071a-4a58-81c2-56dce83f4c70,chappi,bot,Diamond 2,B,Astra,194,131.6,44,19,25,15,23,1,5,2
45efd7bd-071a-4a58-81c2-56dce83f4c70,sparky,789,Unrated,B,Cypher,148,102.7,35,14,26,3,11,2,3,0
5ff08f46-8118-45a4-b243-e5ed1f684dc2,d g,Carp,Gold 3,A,Jett,377,226.4,113,27,12,6,11,5,1,1
5ff08f46-8118-45a4-b243-e5ed1f684dc2,supples,9923,Gold 3,A,Omen,228,152.6,58,18,14,7,25,2,1,1
5ff08f46-8118-45a4-b243-e5ed1f684dc2,mudrat,999,Platinum 1,A,KAY/O,197,128.5,49,14,14,6,13,1,3,0
5ff08f46-8118-45a4-b243-e5ed1f684dc2,pluto,4090,Platinum 2,A,Chamber,187,124.5,50,14,15,3,20,2,5,0
5ff08f46-8118-45a4-b243-e5ed1f684dc2,safarial,2070,Silver 3,A,Sova,158,102.8,38,12,13,8,10,1,0,1
5ff08f46-8118-45a4-b243-e5ed1f684dc2,zuh,9936,Platinum 1,B,Jett,236,152.9,71,19,15,2,15,2,1,1
5ff08f46-8118-45a4-b243-e5ed1f684dc2,dean,5124,Platinum 3,B,Reyna,220,137.9,52,14,19,6,19,3,5,2
5ff08f46-8118-45a4-b243-e5ed1f684dc2,deadwiff,4648,Platinum 1,B,Sage,180,108.2,42,13,17,4,21,0,0,0
5ff08f46-8118-45a4-b243-e5ed1f684dc2,bacco,9243,Gold 1,B,Chamber,177,120.0,47,11,17,7,14,4,3,1
5ff08f46-8118-45a4-b243-e5ed1f684dc2,the kings slave,LMAO,Gold 3,B,Sova,157,103.0,34,11,17,3,37,1,2,1
