gamehash,team,bank,loadout
7d065b80-b6a1-4ded-99d0-f730140aa2f0,A,9753,17118
7d065b80-b6a1-4ded-99d0-f730140aa2f0,B,5316,15639
45efd7bd-071a-4a58-81c2-56dce83f4c70,A,7185,18433
45efd7bd-071a-4a58-81c2-56dce83f4c70,B,8355,19483
5ff08f46-8118-45a4-b243-e5ed1f684dc2,A,5929,17769
5ff08f46-8118-45a4-b243-e5ed1f684dc2,B,8740,18802
456e1130-84bc-42f8-8bf9-b0cef02a207c,A,6645,16489
456e1130-84bc-42f8-8bf9-b0cef02a207c,B,11579,18274
ead44b9b-8a5a-46da-af92-40bf6afc3c31,A,15671,18616
ead44b9b-8a5a-46da-af92-40bf6afc3c31,B,6366,17353
dfdbcf41-16a6-4faf-89cd-4352dbba944e,A,8031,16904
dfdbcf41-16a6-4faf-89cd-4352dbba944e,B,9388,18954
89b2018c-0beb-48f3-b12b-8380bafd72b3,A,8563,18573
89b2018c-0beb-48f3-b12b-8380bafd72b3,B,10367,18075
b43c0d98-0961-43ab-98d7-7d4f54c67d7b,A,6811,17483
b43c0d98-0961-43ab-98d7-7d4f54c67d7b,B,10593,19491
dc46173f-42cd-411b-af31-c7e2ccf6e114,A,14150,19141
dc46173f-42cd-411b-af31-c7e2ccf6e114,B,5059,14659
4e587952-f234-4bc3-aee4-b9f6fabc399a,A,8176,17861
4e587952-f234-4bc3-aee4-b9f6fabc399a,B,10317,18122
74a79412-faa1-4774-9665-90f0041d9be0,A,11625,19641
74a79412-faa1-4774-9665-90f0041d9be0,B,8018,18134
cd8f191f-1ccf-445e-af9c-4d1b43e36385,A,8925,17629
cd8f191f-1ccf-445e-af9c-4d1b43e36385,B,6094,17844
d3427720-af92-4e60-8f90-11fe007d3465,A,10289,18484
d3427720-af92-4e60-8f90-11fe007d3465,B,11768,17970
5ac168a5-bce9-4e94-9d43-e8866148bf99,A,3438,15276
5ac168a5-bce9-4e94-9d43-e8866148bf99,B,15994,19115
50c90676-1fa1-4922-8197-60dd1b2e8236,A,10456,17477
50c90676-1fa1-4922-8197-60dd1b2e8236,B,7588,18088
974fb9f1-f045-4160-9338-e94f1fed19b9,A,17070,18773
974fb9f1-f045-4160-9338-e94f1fed19b9,B,4290,14117
15a01190-6bb3-4968-ab32-6bc4ffb5b4fc,A,8560,18873
15a01190-6bb3-4968-ab32-6bc4ffb5b4fc,B,5621,17535
160aa372-7b3a-4507-a314-98f36a13d3d7,A,10888,19417
160aa372-7b3a-4507-a314-98f36a13d3d7,B,9098,17706
acb33e60-c12f-4e3a-8dd1-18a8991fc774,A,3218,9379
acb33e60-c12f-4e3a-8dd1-18a8991fc774,B,9568,12754
e28333b3-fb06-401e-a116-49924aca7f9c,A,3744,15563
e28333b3-fb06-401e-a116-49924aca7f9c,B,13600,19016
8ae2e161-4a6d-4b27-b21d-59247a4f003a,A,9226,18818
8ae2e161-4a6d-4b27-b21d-59247a4f003a,B,6163,16332
85fe6dfb-7c60-4147-b140-322aeed98070,A,9396,18041
85fe6dfb-7c60-4147-b140-322aeed98070,B,4452,16420
a1e9f734-2572-495c-8a3a-e5b394b0bf51,A,6348,17804
