gamehash,name,discrim,team,agent,ACS,ECON,K,D,A,ADR,HSP,FK,FD,MK
c0f5bae3-1d55-41d7-acd8-c84e397ffe30,ShadowDragon,7314,A,Chamber,397,94,26,9,7,242.3,23,2,1,3
c0f5bae3-1d55-41d7-acd8-c84e397ffe30,kitten,meow1,A,Reyna,257,98,16,14,5,185.9,22,4,3,3
c0f5bae3-1d55-41d7-acd8-c84e397ffe30,swahn,1679,A,Viper,242,64,14,10,8,180.2,19,1,1,2
c0f5bae3-1d55-41d7-acd8-c84e397ffe30,ecco2k,3774,A,Phoenix,194,56,12,15,1,139.1,29,3,3,1
c0f5bae3-1d55-41d7-acd8-c84e397ffe30,Herencies,0081,A,Sage,132,27,9,9,9,67.3,6,0,0,1
c0f5bae3-1d55-41d7-acd8-c84e397ffe30,bam bam,dog,B,Sage,329,85,20,13,7,217.5,25,3,2,1
c0f5bae3-1d55-41d7-acd8-c84e397ffe30,Synesthesiac,1881,B,KAY/O,236,66,13,15,6,146.9,16,3,0,2
c0f5bae3-1d55-41d7-acd8-c84e397ffe30,puppiesz,extra,B,Viper,209,52,12,15,2,139.7,34,2,1,2
c0f5bae3-1d55-41d7-acd8-c84e397ffe30,FindingZimo,NA1,B,Raze,116,30,7,15,1,84.9,9,0,2,1
c0f5bae3-1d55-41d7-acd8-c84e397ffe30,mommymilker,keeb,B,Reyna,86,20,5,19,3,59.0,32,0,5,0
91581f53-ed56-4177-abdf-04a6e32a8fbe,Aetho9,5050,A,Raze,249,54,18,21,9,174.5,11,3,0,0
91581f53-ed56-4177-abdf-04a6e32a8fbe,DHG Imakeupuddin,3198,A,Jett,248,72,17,17,12,173.7,17,5,1,2
91581f53-ed56-4177-abdf-04a6e32a8fbe,dave,dawg,A,Omen,240,63,20,14,5,154.8,15,1,0,0
91581f53-ed56-4177-abdf-04a6e32a8fbe,DazyOne,8691,A,Cypher,236,51,20,18,5,146.5,25,4,4,2
91581f53-ed56-4177-abdf-04a6e32a8fbe,Akraos,1738,A,Skye,165,54,14,17,7,112.3,22,3,2,0
91581f53-ed56-4177-abdf-04a6e32a8fbe,sockmyson,love,B,Sova,294,71,25,17,6,187.0,25,1,1,3
91581f53-ed56-4177-abdf-04a6e32a8fbe,Vale,bop,B,Astra,270,75,24,13,2,180.3,25,1,0,3
91581f53-ed56-4177-abdf-04a6e32a8fbe,yan,112,B,Reyna,221,53,17,19,4,157.0,29,2,0,1
91581f53-ed56-4177-abdf-04a6e32a8fbe,NMG Franchise,1337,B,Jett,175,47,12,21,9,115.9,14,3,5,0
91581f53-ed56-4177-abdf-04a6e32a8fbe,amypham2,5006,B,Sage,154,36,9,19,15,97.9,3,0,10,0
463ed901-09d7-41ce-9c55-420091200a32,Jeff1,bob1,A,Jett,301,95,24,14,6,220.8,21,2,1,4
463ed901-09d7-41ce-9c55-420091200a32,bag alert,major,A,Astra,268,67,25,14,5,179.5,53,3,2,2
463ed901-09d7-41ce-9c55-420091200a32,3LK Camo,CYB,A,Raze,230,58,19,16,7,155.1,11,0,0,2
463ed901-09d7-41ce-9c55-420091200a32,cedrick highsmif,Tim,A,KAY/O,171,38,13,18,8,97.6,9,5,5,0
463ed901-09d7-41ce-9c55-420091200a32,3LK Kohaku,vags,A,Chamber,156,48,12,18,6,117.4,29,2,3,1
463ed901-09d7-41ce-9c55-420091200a32,Kamei,420,B,Jett,297,82,23,20,4,192.9,29,4,3,1
463ed901-09d7-41ce-9c55-420091200a32,bibimbop,6969,B,KAY/O,230,58,17,19,11,145.2,29,4,2,0
463ed901-09d7-41ce-9c55-420091200a32,Kabobster,999,B,Reyna,224,75,18,16,4,166.7,24,1,4,3
463ed901-09d7-41ce-9c55-420091200a32,Vale,bop,B,Astra,185,49,16,17,3,116.7,26,1,1,3
463ed901-09d7-41ce-9c55-420091200a32,amypham2,5006,B,Sage,88,23,6,21,2,63.0,12,1,2,0
3be504f7-15b5-4780-9e23-cafa0b458865,Synesthesiac,1881,A,Skye,322,76,18,15,8,216.8,29,5,1,3
3be504f7-15b5-4780-9e23-cafa0b458865,opium,lol,A,Jett,298,81,18,15,5,204.8,25,4,2,0
3be504f7-15b5-4780-9e23-cafa0b458865,Vale,bop,A,Astra,214,79,17,7,6,159.5,36,1,1,1
3be504f7-15b5-4780-9e23-cafa0b458865,WhiteCh0werrr,Omg,A,Killjoy,200,54,13,13,4,131.0,7,0,3,0
3be504f7-15b5-4780-9e23-cafa0b458865,amypham2,5006,A,Sage,104,25,7,12,7,66.3,10,0,1,1
3be504f7-15b5-4780-9e23-cafa0b458865,Firecrackerj,6969,B,Sova,279,70,16,14,6,180.5,17,0,1,2
3be504f7-15b5-4780-9e23-cafa0b458865,14K,5315,B,Reyna,279,64,16,16,6,169.5,11,4,2,2
3be504f7-15b5-4780-9e23-cafa0b458865,musubi,4302,B,Jett,171,46,10,15,4,113.8,13,2,3,0
3be504f7-15b5-4780-9e23-cafa0b458865,Sharty,1221,B,Astra,163,42,11,13,1,92.8,10,1,1,0
3be504f7-15b5-4780-9e23-cafa0b458865,G R I N,OP69,B,Chamber,134,41,9,15,2,94.4,17,1,3,0
3b2556dc-4dcf-4ef9-a61b-c93e42d028c2,loqdwn,9579,A,Chamber,314,97,22,11,4,194.8,4,4,2,2
3b2556dc-4dcf-4ef9-a61b-c93e42d028c2,kale,goat,A,Astra,251,52,16,11,4,161.8,17,4,1,0
3b2556dc-4dcf-4ef9-a61b-c93e42d028c2,joツ,pimp,A,Sova,217,71,12,11,7,169.3,33,0,0,0
3b2556dc-4dcf-4ef9-a61b-c93e42d028c2,Joyboy,jit,A,Skye,216,58,13,5,16,112.7,6,0,0,2
3b2556dc-4dcf-4ef9-a61b-c93e42d028c2,Slatt,sauce,A,Jett,206,46,11,15,4,133.7,12,4,2,0
3b2556dc-4dcf-4ef9-a61b-c93e42d028c2,stryker2thepeter,NA1,B,Raze,342,84,20,14,3,224.9,24,2,2,2
3b2556dc-4dcf-4ef9-a61b-c93e42d028c2,Vale,bop,B,Astra,192,55,12,14,2,128.4,39,0,1,0
3b2556dc-4dcf-4ef9-a61b-c93e42d028c2,HornyBrazilMan,brzil,B,Neon,169,49,9,16,3,119.9,41,3,7,0
3b2556dc-4dcf-4ef9-a61b-c93e42d028c2,amypham2,5006,B,Sage,154,39,8,16,4,99.9,16,0,1,0
3b2556dc-4dcf-4ef9-a61b-c93e42d028c2,MisterFlappy,NA1,B,Reyna,82,30,4,14,1,65.4,11,0,1,0
29ee9098-9ec9-46cf-932b-2abe87838f70,skeejo,Alt3,A,Sova,309,89,21,8,5,234.3,34,1,0,2
29ee9098-9ec9-46cf-932b-2abe87838f70,Tim W,2104,A,KAY/O,300,72,19,10,8,182.3,15,4,1,0
29ee9098-9ec9-46cf-932b-2abe87838f70,Moose,8622,A,Jett,262,80,17,9,2,168.9,19,5,2,2
29ee9098-9ec9-46cf-932b-2abe87838f70,Minku,1287,A,Chamber,186,61,12,9,3,128.9,43,0,4,2
29ee9098-9ec9-46cf-932b-2abe87838f70,Tezci,007,A,Omen,163,53,12,8,4,112.5,17,0,1,1
29ee9098-9ec9-46cf-932b-2abe87838f70,admire,adrii,B,Raze,199,61,10,17,3,159.5,30,0,3,1
29ee9098-9ec9-46cf-932b-2abe87838f70,Synesthesiac,1881,B,Skye,184,55,14,14,0,114.1,22,2,2,2
29ee9098-9ec9-46cf-932b-2abe87838f70,yoip,113,B,Brimstone,180,43,11,16,5,100.4,17,4,2,0
29ee9098-9ec9-46cf-932b-2abe87838f70,Chrome88,3563,B,Reyna,111,36,4,17,5,87.4,11,1,1,0
29ee9098-9ec9-46cf-932b-2abe87838f70,FindingZimo,NA1,B,Sage,98,28,5,17,2,68.1,17,1,2,0
5e797ef9-06e9-497b-8e10-a7d10283fa16,basheep28,3541,A,Reyna,290,82,21,12,2,173.3,22,3,1,2
5e797ef9-06e9-497b-8e10-a7d10283fa16,Moonrockwally,2739,A,Skye,287,84,18,13,6,200.4,21,5,3,2
5e797ef9-06e9-497b-8e10-a7d10283fa16,omen,1613,A,Raze,250,68,16,15,3,154.4,16,2,3,1
5e797ef9-06e9-497b-8e10-a7d10283fa16,Vale,bop,A,Astra,192,58,13,11,7,128.5,34,1,0,1
5e797ef9-06e9-497b-8e10-a7d10283fa16,amypham2,5006,A,Sage,133,41,8,11,8,94.8,18,0,1,0
5e797ef9-06e9-497b-8e10-a7d10283fa16,rokshed,NA1,B,Chamber,225,66,14,15,5,175.3,18,3,1,2
5e797ef9-06e9-497b-8e10-a7d10283fa16,uAshton,G59,B,Astra,213,48,14,15,0,126.6,31,1,2,2
5e797ef9-06e9-497b-8e10-a7d10283fa16,ReverseBan,1234,B,Skye,206,51,13,15,3,133.5,22,0,1,1
5e797ef9-06e9-497b-8e10-a7d10283fa16,I Is the Best,NA1,B,Sova,166,45,9,16,3,117.1,18,2,6,0
5e797ef9-06e9-497b-8e10-a7d10283fa16,Zreshy,NA1,B,Jett,161,42,12,15,2,102.8,15,2,1,2
07ec512a-ed8d-43db-99fb-f49fa5e91729,stryker2thepeter,NA1,A,Raze,404,93,31,19,3,254.6,31,5,4,6
07ec512a-ed8d-43db-99fb-f49fa5e91729,Vale,bop,A,Astra,333,87,25,10,5,209.0,22,2,3,2
07ec512a-ed8d-43db-99fb-f49fa5e91729,ayeraM,3945,A,Reyna,249,71,19,14,3,181.6,43,2,1,1
07ec512a-ed8d-43db-99fb-f49fa5e91729,HornyBrazilMan,brzil,A,Viper,158,36,11,16,6,94.3,33,1,1,0
07ec512a-ed8d-43db-99fb-f49fa5e91729,amypham2,5006,A,Sage,85,22,5,17,10,54.4,0,0,2,0
07ec512a-ed8d-43db-99fb-f49fa5e91729,Hainan Chicken,simp,B,Chamber,239,65,18,18,2,154.8,21,2,3,0
